Wall time,Epoch,5,2.5,1
1576050625,0,5.016841888,1.302734494,2.369356632
1576050821,1,0.851636708,1.724225044,1.242208719
1576051056,2,0.829927683,1.378582835,2.266998768
1576051252,3,1.378177404,5.07115984,2.331254482
1576051483,4,0.600872159,2.651765823,2.845144033
1576051679,5,0.796052277,1.693545341,2.712468386
1576051909,6,0.863164604,0.998273253,2.859592915
1576052104,7,2.081789017,0.425554276,2.754127026
1576052300,8,0.67983067,1.224812388,3.175124645
1576052532,9,0.459841669,1.785099506,1.94999218
1576052728,10,0.490539074,0.634271383,3.133505583
1576052957,11,0.562664211,3.07093811,1.840126753
1576053153,12,0.421342582,1.042191148,2.207739592
1576053384,13,1.023657084,1.848660707,0.898307681
1576053580,14,0.622653961,1.460455418,0.956916094
1576053811,15,1.235341072,0.397378713,1.914089441
1576054007,16,1.918476105,0.680067182,2.620308876
1576054203,17,1.259975314,0.852431595,1.122745991
1576054433,18,0.492874473,1.471306324,1.451159358
1576054629,19,1.905688405,1.662858009,2.198569298
1576054861,0,1.302734494,,
1576055058,1,1.724225044,,
1576055291,2,1.378582835,,
1576055487,3,5.07115984,,
1576055720,4,2.651765823,,
1576055916,5,1.693545341,,
1576056148,6,0.998273253,,
1576056344,7,0.425554276,,
1576056540,8,1.224812388,,
1576056773,9,1.785099506,,
1576056969,10,0.634271383,,
1576057199,11,3.07093811,,
1576057395,12,1.042191148,,
1576057627,13,1.848660707,,
1576057822,14,1.460455418,,
1576058054,15,0.397378713,,
1576058249,16,0.680067182,,
1576058445,17,0.852431595,,
1576058676,18,1.471306324,,
1576058871,19,1.662858009,,
1576059103,0,2.369356632,,
1576059299,1,1.242208719,,
1576059532,2,2.266998768,,
1576059727,3,2.331254482,,
1576059956,4,2.845144033,,
1576060152,5,2.712468386,,
1576060383,6,2.859592915,,
1576060578,7,2.754127026,,
1576060774,8,3.175124645,,
1576061005,9,1.94999218,,
1576061201,10,3.133505583,,
1576061432,11,1.840126753,,
1576061629,12,2.207739592,,
1576061859,13,0.898307681,,
1576062055,14,0.956916094,,
1576062285,15,1.914089441,,
1576062481,16,2.620308876,,
1576062678,17,1.122745991,,
1576062910,18,1.451159358,,
1576063106,19,2.198569298,,
